Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,132.169998,135.169998,131.539993,134.660004,122.686081,27295100
2019-01-03,133.910004,134.639999,131.649994,132.250000,120.490372,29294600
2019-01-04,133.919998,137.600006,133.710007,137.190002,124.991112,35355300
2019-01-07,137.259995,140.369995,136.740005,139.589996,127.177689,30477900
2019-01-08,140.800003,141.789993,139.389999,141.729996,129.127411,27320900
2019-01-09,142.220001,143.389999,141.619995,142.899994,130.193390,25764600
2019-01-10,142.059998,143.720001,141.350006,143.639999,130.867538,22896800
2019-01-11,143.009995,143.990005,142.679993,143.679993,130.904007,22428400
2019-01-14,142.820007,143.440002,142.089996,142.250000,129.601181,29185000
2019-01-15,142.649994,143.649994,142.089996,143.449997,130.694489,25678900
2019-01-16,143.679993,145.250000,143.669998,144.520004,131.669327,20827300
2019-01-17,143.990005,146.330002,143.970001,145.830002,132.862854,19273400
2019-01-18,146.600006,147.919998,146.000000,147.330002,134.229477,28306700
2019-01-22,146.460007,146.759995,144.050003,145.000000,132.106613,27741100
2019-01-23,145.320007,146.179993,143.460007,144.600006,131.742203,20621300
2019-01-24,144.429993,145.759995,144.330002,145.470001,132.534882,16976300
2019-01-25,146.619995,147.639999,146.429993,147.339996,134.238602,22266900
2019-01-28,145.960007,146.910004,145.369995,146.550003,133.518845,22784700
2019-01-29,146.710007,146.820007,145.880005,146.199997,133.199890,12084800
2019-01-30,146.979996,148.339996,145.679993,147.800003,134.657715,25516900
2019-01-31,147.610001,149.300003,147.529999,149.059998,135.805649,27252900
2019-02-01,149.350006,149.679993,148.580002,149.179993,135.914886,17057900
2019-02-04,149.410004,150.970001,148.880005,150.960007,137.536697,21301700
2019-02-05,151.009995,151.600006,150.240005,151.119995,137.682449,18295900
2019-02-06,151.039993,151.369995,150.100006,150.929993,137.509323,13720600
2019-02-07,149.919998,150.699997,148.389999,149.690002,136.379593,22850800
2019-02-08,149.059998,149.899994,148.500000,149.850006,136.525375,13463000
2019-02-11,150.289993,151.149994,149.630005,151.100006,137.664230,16374800
2019-02-12,151.919998,153.190002,151.880005,152.990005,139.386169,20779900
2019-02-13,153.419998,153.759995,152.699997,153.419998,139.777878,15534500
2019-02-14,152.580002,154.369995,152.399994,153.770004,140.096832,18251000
2019-02-15,154.779999,156.240005,154.270004,156.220001,142.328995,27240200
2019-02-19,155.550003,157.100006,155.550003,156.649994,142.720718,15856900
2019-02-20,156.660004,157.580002,156.529999,157.389999,143.394897,18317400
2019-02-21,157.130005,157.369995,156.059998,156.789993,142.848312,17497000
2019-02-22,157.270004,158.270004,157.100006,158.149994,144.087357,20411800
2019-02-25,159.080002,159.500000,158.089996,158.190002,144.123779,17957100
2019-02-26,158.009995,158.190002,156.889999,157.100006,143.130722,21497300
2019-02-27,156.490005,157.440002,156.119995,157.320007,143.331161,18194900
2019-02-28,157.089996,157.479996,156.369995,156.779999,142.839188,18155300
2019-03-01,157.949997,158.339996,156.750000,158.240005,144.169357,19247100
