Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,245.979996,251.210007,245.949997,250.179993,223.805954,126925200
2019-01-03,248.229996,248.570007,243.669998,244.210007,218.465347,144140700
2019-01-04,247.589996,253.110001,247.169998,252.389999,225.782959,142628800
2019-01-07,252.690002,255.949997,251.690002,254.380005,227.563217,103139100
2019-01-08,256.820007,257.309998,254.000000,256.769989,229.701233,102512600
2019-01-09,257.559998,258.910004,256.190002,257.970001,230.774719,95006600
2019-01-10,256.260010,259.160004,255.500000,258.880005,231.588821,96823900
2019-01-11,257.679993,259.010010,257.029999,258.980011,231.678268,73858100
2019-01-14,256.859985,258.299988,256.410004,257.399994,230.264847,70908200
2019-01-15,257.820007,260.700012,257.809998,260.350006,232.903854,85208300
2019-01-16,260.829987,261.970001,260.600006,260.980011,233.467468,77636700
2019-01-17,260.010010,263.920013,259.959991,262.959991,235.238663,96118400
2019-01-18,264.980011,266.980011,263.000000,266.459991,238.369690,127900300
2019-01-22,264.820007,265.059998,261.059998,262.859985,235.149170,115531200
2019-01-23,264.010010,264.790009,260.660004,263.410004,235.641266,86030300
2019-01-24,263.209991,264.200012,262.079987,263.549988,235.766464,59204100
2019-01-25,265.609985,266.700012,263.660004,265.779999,237.761414,96883400
2019-01-28,263.390015,263.829987,261.790009,263.760010,235.954330,85613700
2019-01-29,263.920013,264.549988,262.480011,263.410004,235.641266,66136300
2019-01-30,265.100006,268.519989,264.250000,267.579987,239.371674,92473700
2019-01-31,267.510010,270.470001,267.269989,269.929993,241.473938,104012100
2019-02-01,270.149994,271.200012,269.179993,270.059998,241.590225,85782500
2019-02-04,270.109985,272.029999,269.359985,271.959991,243.289963,60744800
2019-02-05,272.440002,273.440002,271.880005,273.100006,244.309738,79552800
2019-02-06,272.790009,273.339996,271.920013,272.739990,243.987625,58347800
2019-02-07,270.940002,271.549988,268.290009,270.140015,241.661743,95482000
2019-02-08,268.750000,270.579987,267.829987,270.470001,241.957001,75788900
2019-02-11,271.200012,271.489990,270.029999,270.619995,242.091217,68021400
2019-02-12,272.420013,274.519989,272.339996,274.100006,245.204330,72270200
2019-02-13,275.029999,275.929993,274.559998,274.989990,246.000519,65277200
2019-02-14,273.779999,275.640015,272.869995,274.380005,245.454742,83234400
2019-02-15,276.359985,277.410004,276.130005,277.369995,248.129562,97088700
2019-02-19,276.480011,278.579987,276.470001,277.850006,248.559021,59120800
2019-02-20,277.809998,278.920013,277.250000,278.410004,249.059982,76610800
2019-02-21,277.700012,278.100006,276.350006,277.420013,248.174240,64214700
2019-02-22,278.109985,279.359985,277.399994,279.140015,249.712997,78114600
2019-02-25,280.730011,281.309998,279.429993,279.519989,250.052933,69030700
2019-02-26,279.130005,280.299988,278.899994,279.320007,249.873962,56844100
2019-02-27,278.519989,279.589996,277.480011,279.200012,249.766632,56921600
2019-02-28,278.959991,279.450012,278.320007,278.679993,249.301468,69268300
2019-03-01,280.440002,280.880005,278.820007,280.420013,250.858078,78880500
2019-03-04,281.600006,281.869995,276.839996,279.399994,249.945526,106494600
2019-03-05,279.540009,279.760010,278.410004,279.019989,249.605591,59114600
2019-03-06,279.149994,279.160004,276.970001,277.329987,248.093811,75039800
2019-03-07,276.829987,276.989990,274.070007,275.010010,246.018387,94885100
2019-03-08,272.940002,274.649994,272.420013,274.459991,245.526337,85795800
2019-03-11,275.260010,278.619995,275.230011,278.440002,249.086823,65098900
2019-03-12,279.059998,280.070007,278.850006,279.489990,250.026215,79667500
2019-03-13,280.480011,282.380005,280.299988,281.339996,251.681015,80639200
2019-03-14,281.369995,281.839996,280.670013,281.160004,251.520050,67518400
2019-03-15,280.540009,282.209991,280.329987,281.309998,252.762650,81309000
2019-03-18,281.549988,282.660004,281.299988,282.329987,253.679169,62199800
2019-03-19,283.510010,284.359985,281.410004,282.399994,253.742065,90268100
2019-03-20,282.160004,283.500000,280.320007,281.549988,252.978378,84609200
2019-03-21,280.640015,285.179993,280.589996,284.730011,255.835663,79550400
2019-03-22,283.220001,283.799988,279.179993,279.250000,250.911728,122659300
2019-03-25,278.869995,280.190002,277.640015,279.040009,250.722992,85575200
2019-03-26,280.989990,282.179993,279.559998,281.119995,252.591995,68125900
2019-03-27,281.109985,281.760010,277.929993,279.649994,251.271149,72224700
2019-03-28,280.350006,281.209991,279.070007,280.709991,252.223526,56238500
2019-03-29,282.390015,282.839996,281.140015,282.480011,253.813950,82186800
2019-04-01,284.700012,286.160004,284.399994,285.829987,256.824005,77617900
2019-04-02,286.040009,286.230011,285.089996,285.970001,256.949738,40070400
2019-04-03,287.320007,287.760010,285.750000,286.420013,257.354126,68243200
2019-04-04,286.779999,287.459991,286.010010,287.179993,258.037079,48997500
2019-04-05,287.920013,288.630005,287.600006,288.570007,259.285980,58621700
2019-04-08,288.100006,288.910004,287.369995,288.790009,259.483551,53566300
2019-04-09,287.720001,288.079987,286.700012,287.309998,258.153900,66142300
2019-04-10,287.769989,288.390015,287.309998,288.290009,259.034363,52601500
2019-04-11,288.829987,288.839996,287.579987,288.209991,258.962433,55093100
2019-04-12,290.000000,290.470001,288.260010,290.160004,260.714539,69727800
2019-04-15,290.239990,290.350006,289.079987,289.970001,260.543823,49596700
2019-04-16,290.950012,291.010010,289.500000,290.160004,260.714539,52153200
2019-04-17,291.399994,291.429993,288.989990,289.450012,260.076782,58268300
2019-04-18,290.100006,290.320007,288.660004,290.019989,260.588806,68708500
2019-04-22,289.170013,290.440002,289.070007,290.269989,260.813446,40160100
2019-04-23,290.679993,293.140015,290.420013,292.880005,263.158539,52246600
2019-04-24,292.790009,293.160004,292.070007,292.230011,262.574524,50392900
2019-04-25,292.119995,292.779999,290.730011,292.049988,262.412842,57770900
