Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,126.089996,126.089996,126.089996,126.089996,126.089996,0
1990-01-03,123.339996,123.339996,123.339996,123.339996,123.339996,0
1990-01-04,122.620003,122.620003,122.620003,122.620003,122.620003,0
1990-01-05,121.269997,121.269997,121.269997,121.269997,121.269997,0
1990-01-08,124.120003,124.120003,124.120003,124.120003,124.120003,0
1990-01-09,119.820000,119.820000,119.820000,119.820000,119.820000,0
1990-01-10,120.820000,120.820000,120.820000,120.820000,120.820000,0
1990-01-11,107.480003,107.480003,107.480003,107.480003,107.480003,0
1990-01-12,116.779999,116.779999,116.779999,116.779999,116.779999,0
1990-01-15,116.160004,116.160004,116.160004,116.160004,116.160004,0
1990-01-16,120.620003,120.620003,120.620003,120.620003,120.620003,0
1990-01-17,123.029999,123.029999,123.029999,123.029999,123.029999,0
1990-01-18,131.139999,131.139999,131.139999,131.139999,131.139999,0
1990-01-19,129.309998,129.309998,129.309998,129.309998,129.309998,0
1990-01-22,118.949997,118.949997,118.949997,118.949997,118.949997,0
1990-01-23,117.940002,117.940002,117.940002,117.940002,117.940002,0
1990-01-24,128.750000,128.750000,128.750000,128.750000,128.750000,0
1990-01-25,124.330002,124.330002,124.330002,124.330002,124.330002,0
1990-01-26,122.760002,122.760002,122.760002,122.760002,122.760002,0
1990-01-29,124.599998,124.599998,124.599998,124.599998,124.599998,0
1990-01-30,120.910004,120.910004,120.910004,120.910004,120.910004,0
1990-01-31,128.220001,128.220001,128.220001,128.220001,128.220001,0
1990-02-01,129.529999,129.529999,129.529999,129.529999,129.529999,0
1990-02-02,132.529999,132.529999,132.529999,132.529999,132.529999,0
1990-02-05,121.220001,121.220001,121.220001,121.220001,121.220001,0
1990-02-06,120.300003,120.300003,120.300003,120.300003,120.300003,0
1990-02-07,123.349998,123.349998,123.349998,123.349998,123.349998,0
1990-02-08,124.870003,124.870003,124.870003,124.870003,124.870003,0
1990-02-09,126.059998,126.059998,126.059998,126.059998,126.059998,0
1990-02-12,126.989998,126.989998,126.989998,126.989998,126.989998,0
1990-02-13,133.059998,133.059998,133.059998,133.059998,133.059998,0
1990-02-14,131.550003,131.550003,131.550003,131.550003,131.550003,0
1990-02-15,139.070007,139.070007,139.070007,139.070007,139.070007,0
1990-02-16,136.610001,136.610001,136.610001,136.610001,136.610001,0
1990-02-20,126.470001,126.470001,126.470001,126.470001,126.470001,0
1990-02-21,129.169998,129.169998,129.169998,129.169998,129.169998,0
1990-02-22,124.800003,124.800003,124.800003,124.800003,124.800003,0
1990-02-23,125.820000,125.820000,125.820000,125.820000,125.820000,0
1990-02-26,130.690002,130.690002,130.690002,130.690002,130.690002,0
