Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,298.670013,303.049988,296.570007,301.589996,275.823883,1777600
2019-01-03,300.320007,301.760010,295.380005,296.630005,271.287659,2011900
2019-01-04,300.559998,307.529999,300.380005,306.350006,280.177094,1383000
2019-01-07,306.720001,312.140015,305.320007,309.760010,283.295868,1454300
2019-01-08,312.750000,315.049988,310.480011,314.950012,288.042480,1056600
2019-01-09,316.529999,319.000000,315.420013,318.059998,290.886749,1032100
2019-01-10,316.290009,320.619995,315.570007,320.619995,293.228027,1127400
2019-01-11,319.140015,321.260010,318.140015,320.760010,293.356018,977800
2019-01-14,318.559998,320.589996,317.859985,318.980011,291.728180,2814700
2019-01-15,319.609985,321.190002,318.579987,320.950012,293.529755,925200
2019-01-16,321.410004,324.119995,321.350006,323.160004,295.550964,833600
2019-01-17,322.049988,327.579987,322.049988,326.399994,298.514343,1270300
2019-01-18,328.010010,331.420013,327.380005,330.790009,302.529205,1080700
2019-01-22,328.940002,329.350006,323.940002,325.679993,297.855774,1248400
2019-01-23,327.059998,328.109985,322.410004,325.160004,297.380219,879300
2019-01-24,324.940002,328.170013,324.760010,327.299988,299.337311,773400
2019-01-25,330.140015,331.649994,329.700012,330.989990,302.712036,896700
2019-01-28,328.329987,330.899994,327.750000,330.470001,302.236542,1101500
2019-01-29,330.769989,331.630005,329.709991,330.489990,302.254791,727700
2019-01-30,331.690002,334.079987,328.980011,332.570007,304.157104,1359600
2019-01-31,332.320007,334.519989,331.299988,333.790009,305.272858,1784400
2019-02-01,334.859985,335.709991,333.299988,334.850006,306.242371,1530100
2019-02-04,335.190002,338.209991,333.910004,338.160004,309.269531,670900
2019-02-05,338.500000,339.910004,337.690002,339.529999,310.522430,957600
2019-02-06,339.040009,340.040009,338.049988,339.179993,310.202301,772800
2019-02-07,338.220001,338.660004,334.820007,337.660004,308.812256,1257400
2019-02-08,335.950012,337.980011,334.540009,337.410004,308.583618,875400
2019-02-11,338.209991,339.690002,337.410004,339.500000,310.495087,1435000
2019-02-12,341.350006,343.670013,341.179993,342.950012,313.650330,1031100
2019-02-13,343.989990,345.500000,342.890015,344.829987,315.369629,1441200
2019-02-14,343.000000,346.130005,342.540009,344.619995,315.177612,1055700
2019-02-15,346.470001,348.890015,345.869995,348.890015,319.082794,847000
2019-02-19,347.470001,350.100006,347.089996,349.170013,319.338928,1153000
2019-02-20,349.309998,351.369995,348.899994,350.790009,320.820404,1170300
2019-02-21,350.230011,350.390015,348.209991,349.609985,319.741241,1903000
2019-02-22,350.450012,352.600006,350.070007,352.260010,322.164917,1309400
2019-02-25,354.019989,354.700012,351.720001,352.230011,322.137451,938800
2019-02-26,351.609985,352.320007,349.070007,349.260010,319.421234,1683800
2019-02-27,348.230011,350.119995,347.649994,349.640015,319.768738,806600
2019-02-28,349.059998,349.880005,347.679993,348.220001,318.470093,900700
2019-03-01,350.480011,352.059998,348.380005,350.850006,320.875336,1258100
2019-03-04,351.839996,352.140015,346.160004,349.220001,319.384644,1166500
2019-03-05,349.380005,349.459991,347.519989,347.750000,318.040253,1169000
2019-03-06,347.630005,347.750000,342.920013,343.070007,313.760071,966100
2019-03-07,342.579987,342.920013,339.260010,340.190002,311.126038,993500
2019-03-08,337.799988,339.440002,337.489990,339.220001,310.238953,1307200
2019-03-11,339.910004,343.829987,339.829987,343.709991,314.345337,1367800
2019-03-12,344.079987,345.140015,343.179993,344.200012,314.793549,711600
2019-03-13,345.549988,347.160004,345.260010,345.739990,316.201935,704900
2019-03-14,345.519989,345.980011,344.070007,345.320007,315.817810,942500
2019-03-15,344.609985,347.190002,344.000000,344.750000,316.105713,1382600
2019-03-18,345.250000,348.130005,345.160004,347.369995,318.507996,997500
2019-03-19,348.970001,348.970001,344.739990,345.600006,316.885132,716900
2019-03-20,345.170013,346.369995,341.019989,342.709991,314.235199,1419500
2019-03-21,341.470001,348.350006,341.470001,347.420013,318.553925,1239200
2019-03-22,345.350006,345.779999,337.339996,337.339996,309.311310,1928300
2019-03-25,337.290009,339.970001,335.140015,338.140015,310.044891,1333600
2019-03-26,340.320007,343.010010,339.070007,341.480011,313.107422,749800
2019-03-27,341.459991,342.809998,338.230011,341.239990,312.887390,1031900
2019-03-28,342.079987,344.329987,340.670013,344.100006,315.509796,898000
2019-03-29,346.260010,346.899994,344.250000,345.399994,316.701660,966400
2019-04-01,347.549988,350.119995,347.220001,350.000000,320.919464,1277800
2019-04-02,349.970001,349.970001,347.200012,348.589996,319.626678,790800
2019-04-03,350.880005,352.160004,349.450012,350.450012,321.332153,1255100
2019-04-04,350.880005,352.559998,350.239990,352.260010,322.991791,1039300
2019-04-05,352.890015,355.100006,352.609985,354.989990,325.494873,1063800
2019-04-08,354.000000,355.089996,352.940002,354.970001,325.476593,607400
2019-04-09,353.589996,353.660004,350.329987,351.049988,321.882355,1024600
2019-04-10,351.649994,354.609985,351.570007,354.250000,324.816406,1078200
2019-04-11,354.809998,355.690002,353.880005,355.299988,325.779175,525300
2019-04-12,357.470001,358.579987,356.070007,357.950012,328.208984,899500
2019-04-15,358.299988,358.750000,356.619995,357.440002,327.741302,565800
2019-04-16,358.480011,358.940002,356.750000,357.709991,327.988983,690600
2019-04-17,358.899994,359.089996,354.130005,355.049988,325.549927,623500
2019-04-18,355.299988,356.309998,353.649994,355.739990,326.182648,666100
2019-04-22,354.820007,355.510010,353.339996,354.600006,325.137329,747500
2019-04-23,355.059998,359.670013,355.059998,358.950012,329.125824,1433700
2019-04-24,359.299988,361.519989,359.299988,360.209991,330.281158,961000
2019-04-25,358.600006,358.839996,354.100006,356.000000,326.420990,960800
2019-04-26,356.160004,359.850006,355.739990,359.380005,329.520172,1056500
2019-04-29,360.079987,360.760010,359.140015,359.760010,329.868622,864500
2019-04-30,359.519989,359.660004,355.829987,359.100006,329.263397,1771100
2019-05-01,359.820007,359.820007,354.940002,354.950012,325.458191,1361300
2019-05-02,354.359985,356.839996,352.359985,355.829987,326.265076,2216400
2019-05-03,357.250000,361.179993,357.250000,361.019989,331.023895,935200
2019-05-06,355.329987,361.149994,355.170013,360.299988,330.363647,954700
2019-05-07,356.820007,358.019989,350.920013,353.209991,323.862823,1124300
2019-05-08,352.779999,354.899994,351.730011,352.119995,322.863403,1235600
2019-05-09,349.299988,352.000000,346.429993,351.170013,321.992340,1397900
2019-05-10,349.880005,353.320007,345.790009,352.440002,323.156799,923900
2019-05-13,345.850006,346.619995,340.779999,342.089996,313.666718,1490700
2019-05-14,342.959991,347.029999,342.260010,345.429993,316.729279,828400
2019-05-15,343.489990,347.119995,342.309998,346.510010,317.719482,882800
2019-05-16,347.059998,350.619995,347.059998,348.679993,319.709198,673000
2019-05-17,345.600006,349.040009,344.239990,344.410004,315.793976,857600
2019-05-20,342.119995,344.010010,341.119995,341.989990,313.574982,1188600
2019-05-21,344.089996,347.029999,343.950012,346.489990,317.701172,976600
2019-05-22,345.059998,345.670013,342.880005,343.570007,315.023804,790500
2019-05-23,340.690002,340.690002,336.290009,338.059998,309.971527,791500
2019-05-24,339.760010,340.839996,338.350006,339.950012,311.704529,456100
2019-05-28,340.190002,341.049988,336.119995,336.119995,308.192688,754100
2019-05-29,334.480011,335.160004,331.970001,334.250000,306.478088,1169800
2019-05-30,335.000000,337.029999,331.940002,333.510010,305.799683,1017100
2019-05-31,330.119995,331.809998,328.720001,330.130005,302.700439,2019700
2019-06-03,330.540009,333.950012,330.459991,332.570007,304.937744,2104600
2019-06-04,335.649994,341.100006,335.420013,341.019989,312.685699,906800
2019-06-05,342.529999,342.769989,338.220001,342.059998,313.639252,1028100
2019-06-06,342.329987,344.160004,340.369995,343.510010,314.968781,948200
2019-06-07,344.820007,346.790009,344.119995,345.160004,316.481689,680500
2019-06-10,346.980011,349.369995,346.489990,347.160004,318.315491,612300
2019-06-11,349.829987,350.950012,346.359985,347.410004,318.544678,552300
2019-06-12,347.440002,347.679993,345.850006,347.049988,318.214600,552700
2019-06-13,348.850006,349.890015,347.350006,349.269989,320.250153,744500
2019-06-14,348.829987,348.910004,346.570007,346.880005,318.058777,709600
2019-06-17,347.350006,348.600006,346.579987,346.959991,318.132050,570200
2019-06-18,348.910004,353.329987,348.660004,350.929993,321.772186,1120600
2019-06-19,350.929993,352.410004,350.369995,351.970001,322.725830,913900
2019-06-20,355.410004,355.750000,351.809998,354.309998,324.871399,1033500
2019-06-21,352.549988,353.200012,349.790009,350.709991,322.788513,681600
2019-06-24,351.549988,351.750000,347.859985,347.910004,320.211456,770700
2019-06-25,348.500000,348.820007,345.750000,346.019989,318.471924,647000
2019-06-26,347.170013,348.029999,345.410004,345.410004,317.910461,859500
2019-06-27,346.450012,350.109985,346.450012,349.920013,322.061401,936000
2019-06-28,350.609985,354.720001,350.470001,354.589996,326.359650,1058600
2019-07-01,358.239990,359.250000,353.709991,355.279999,326.994720,1161200
2019-07-02,355.429993,355.529999,353.000000,354.359985,326.147919,950800
2019-07-03,355.019989,357.679993,354.790009,357.570007,329.102417,680600
2019-07-05,355.609985,357.920013,353.709991,357.890015,329.396942,833800
2019-07-08,356.320007,357.019989,353.950012,354.500000,326.276825,462400
2019-07-09,352.839996,354.700012,352.529999,354.570007,326.341217,608600
2019-07-10,356.260010,356.720001,353.510010,354.200012,326.000793,701200
2019-07-11,354.929993,354.929993,351.940002,353.399994,325.264374,527600
2019-07-12,353.899994,357.609985,353.679993,357.079987,328.651428,912000
2019-07-15,357.559998,357.890015,354.519989,355.239990,326.957916,570200
2019-07-16,354.809998,356.630005,353.779999,355.459991,327.160461,479400
2019-07-17,354.829987,355.359985,352.369995,352.730011,324.647766,463100
2019-07-18,352.510010,354.589996,351.769989,353.859985,325.687805,694600
2019-07-19,354.739990,356.130005,352.690002,352.760010,324.675446,542300
2019-07-22,353.500000,354.339996,352.290009,352.549988,324.482056,713100
2019-07-23,353.989990,356.420013,353.179993,356.380005,328.007172,1470800
2019-07-24,355.799988,361.690002,355.619995,361.470001,332.691833,1086800
2019-07-25,361.049988,361.059998,357.399994,357.869995,329.378632,855100
2019-07-26,358.579987,361.690002,358.579987,361.369995,332.599915,631500
2019-07-29,361.140015,361.570007,358.989990,359.630005,330.998383,1159800
2019-07-30,357.420013,362.070007,356.600006,362.010010,333.188934,1484900
2019-07-31,361.929993,362.890015,356.190002,357.920013,329.424591,1478200
2019-08-01,358.429993,360.279999,350.790009,352.399994,324.344055,2944600
2019-08-02,350.679993,351.250000,346.500000,348.739990,320.975403,1965100
2019-08-05,342.760010,343.359985,335.790009,338.859985,311.881989,1684900
2019-08-06,340.929993,343.320007,338.790009,343.140015,315.821259,1820400
2019-08-07,339.489990,344.809998,337.489990,343.779999,316.410309,1478500
2019-08-08,345.290009,351.179993,345.290009,351.179993,323.221100,1842600
2019-08-09,349.579987,349.799988,345.390015,346.420013,318.840118,792400
2019-08-12,344.709991,345.260010,340.589996,341.309998,314.136871,771400
2019-08-13,340.600006,348.519989,339.660004,345.369995,317.873779,847600
2019-08-14,339.570007,340.109985,334.670013,335.000000,308.329285,1373800
2019-08-15,336.380005,336.380005,332.769989,334.510010,307.878357,1235500
2019-08-16,336.290009,342.019989,336.279999,341.679993,314.477386,1076700
2019-08-19,345.290009,346.279999,344.489990,344.859985,317.404266,661000
2019-08-20,344.320007,344.329987,341.970001,342.149994,314.910034,571000
2019-08-21,344.920013,345.160004,343.440002,344.089996,316.695618,704700
