Date,Open,High,Low,Close,Adj Close,Volume
2019-04-25,157.330002,157.470001,155.470001,156.750000,143.533112,19365100
2019-04-26,156.960007,158.490005,156.399994,158.270004,144.924896,16999100
2019-04-29,158.619995,159.610001,158.490005,159.029999,145.620850,13698900
2019-04-30,159.149994,159.190002,156.960007,158.289993,144.943237,24127500
2019-05-01,158.669998,158.729996,156.710007,156.789993,143.569687,17734300
2019-05-02,156.639999,158.149994,155.679993,157.520004,144.238129,22715700
2019-05-03,158.309998,160.639999,158.190002,160.529999,146.994354,20178800
2019-05-06,158.179993,161.110001,158.009995,160.710007,147.159164,21262100
2019-05-07,159.309998,159.869995,156.250000,157.529999,144.247253,25434500
2019-05-08,157.259995,158.089996,156.649994,156.759995,143.542252,16113700
2019-05-09,155.520004,156.649994,153.740005,156.190002,143.020355,25259900
2019-05-10,155.589996,156.830002,153.669998,156.619995,143.414062,26544700
2019-05-13,153.690002,154.020004,151.160004,151.630005,138.844772,26936500
2019-05-14,151.960007,154.169998,151.699997,153.539993,140.593750,15519200
2019-05-15,152.399994,154.410004,152.070007,154.039993,141.051575,18410600
2019-05-16,154.509995,156.179993,154.440002,155.000000,141.930603,13772100
2019-05-17,153.820007,155.270004,152.660004,152.839996,139.952744,21534000
2019-05-20,151.929993,152.820007,151.410004,151.779999,138.982178,18689800
2019-05-21,152.630005,154.039993,152.580002,153.820007,140.850098,11659100
2019-05-22,153.220001,153.589996,152.000000,152.529999,139.668900,13922600
2019-05-23,151.059998,151.059998,148.580002,149.389999,136.793655,26379400
2019-05-24,150.380005,151.089996,149.789993,150.789993,138.075592,16093100
2019-05-28,151.009995,151.649994,149.580002,149.589996,136.976776,14042200
2019-05-29,148.839996,148.929993,147.360001,148.339996,135.832230,22622300
2019-05-30,148.750000,149.580002,147.039993,147.929993,135.456726,17739100
2019-05-31,146.190002,146.839996,145.320007,145.860001,133.561325,25411300
2019-06-03,146.130005,147.210007,145.330002,146.369995,134.028336,26554500
2019-06-04,147.919998,150.289993,146.419998,150.160004,137.498749,21217600
2019-06-05,150.759995,150.889999,148.610001,150.190002,137.526215,18184100
2019-06-06,150.119995,150.520004,148.309998,149.800003,137.169083,20772500
2019-06-07,150.350006,151.509995,150.020004,150.860001,138.139725,17107500
2019-06-10,151.449997,153.139999,151.449997,151.750000,138.954666,18912300
2019-06-11,152.869995,153.229996,150.580002,151.300003,138.542603,15373000
2019-06-12,151.179993,151.779999,150.619995,151.470001,138.698288,11957600
2019-06-13,152.309998,153.179993,151.869995,153.070007,140.163361,14839400
2019-06-14,152.880005,152.940002,151.720001,151.729996,138.936325,16154800
2019-06-17,151.869995,152.899994,151.669998,152.240005,139.894760,12509300
2019-06-18,153.270004,155.149994,152.259995,154.009995,141.521225,22100800
2019-06-19,154.190002,154.699997,153.399994,154.559998,142.026672,15625000
2019-06-20,156.050003,156.220001,154.440002,155.289993,142.697433,17595700
2019-06-21,155.130005,155.169998,153.610001,153.949997,141.466095,19854400
2019-06-24,154.360001,154.410004,152.000000,152.080002,139.747711,24002600
2019-06-25,152.309998,152.500000,151.000000,151.149994,138.893158,17462200
2019-06-26,151.699997,152.220001,150.759995,150.800003,138.571548,15726900
2019-06-27,151.240005,153.770004,151.240005,153.630005,141.172043,22278400
2019-06-28,153.949997,156.020004,153.940002,155.500000,142.890427,35089900
2019-07-01,157.539993,158.029999,155.220001,156.100006,143.441788,22850500
2019-07-02,156.020004,156.119995,154.259995,155.149994,142.568756,19024600
2019-07-03,155.600006,156.339996,155.169998,156.259995,143.588776,9115100
2019-07-05,155.490005,156.740005,154.860001,156.679993,143.974701,14156700
2019-07-08,156.210007,156.479996,154.889999,155.190002,142.605530,9735700
2019-07-09,154.539993,155.429993,154.479996,155.399994,142.798492,12381600
2019-07-10,156.199997,156.559998,154.850006,155.669998,143.046677,17325400
2019-07-11,155.889999,155.940002,154.220001,154.910004,142.348267,14260800
2019-07-12,155.139999,156.669998,154.880005,156.110001,143.450958,16678000
2019-07-15,156.559998,156.589996,154.850006,155.289993,142.697433,12194300
2019-07-16,155.130005,156.199997,154.669998,155.240005,142.651535,15152700
2019-07-17,155.240005,155.339996,153.729996,154.130005,141.631516,14155100
2019-07-18,154.080002,155.009995,153.729996,154.710007,142.164490,15705500
2019-07-19,154.940002,155.429993,153.820007,153.820007,141.346634,17182600
2019-07-22,154.240005,154.699997,153.399994,153.679993,141.217987,14474600
2019-07-23,154.279999,154.720001,153.539993,154.699997,142.155273,15493200
2019-07-24,154.289993,157.449997,154.119995,157.259995,144.507690,23823100
2019-07-25,157.179993,157.240005,155.089996,155.360001,142.761765,17902500
